SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPM
101,26-Aug-20,EQ,"2,242.00","2,259.90","2,216.45","2,242.65","2,257.00","2,253.50","2,237.68","2,358.00","1,506.05",2618159,"5,858,592,736.10",100248,25.42305957,1,112.22,418.26,20.6
102,27-Aug-20,EQ,"2,266.00","2,287.35","2,241.75","2,253.50","2,250.00","2,248.40","2,265.38","2,358.00","1,506.05",3579397,"8,108,687,764.85",113510,25.36552347,1,112.22,418.26,20.6
103,28-Aug-20,EQ,"2,268.40","2,279.95","2,235.10","2,248.40","2,238.25","2,238.55","2,248.99","2,358.00","1,506.05",2941156,"6,614,621,419.35",100143,25.25439982,1,112.22,418.26,20.6
104,31-Aug-20,EQ,"2,240.00","2,276.20","2,228.00","2,238.55","2,245.95","2,257.25","2,252.44","2,358.00","1,506.05",6018160,"13,555,530,496.30",182980,25.46536552,1,112.22,418.26,20.6
105,1-Sep-20,EQ,"2,269.00","2,278.00","2,241.30","2,257.25","2,250.00","2,246.35","2,258.27","2,358.00","1,506.05",3610908,"8,154,397,946.30",122003,25.34239621,1,112.22,418.26,20.6
106,2-Sep-20,EQ,"2,247.00","2,268.75","2,241.65","2,246.35","2,263.75","2,265.15","2,257.34","2,358.00","1,506.05",2084152,"4,704,640,877.00",89121,25.55449007,1,112.22,418.26,20.6
107,3-Sep-20,EQ,"2,268.00","2,324.00","2,268.00","2,265.15","2,299.00","2,299.50","2,301.29","2,358.00","1,506.05",4654146,"10,710,523,657.90",170993,25.94201264,1,112.22,418.26,20.6
108,4-Sep-20,EQ,"2,275.00","2,324.25","2,262.95","2,299.50","2,297.65","2,288.80","2,295.35","2,358.00","1,506.05",5232180,"12,009,690,379.65",177219,25.82129964,1,112.22,418.26,20.6
109,7-Sep-20,EQ,"2,289.00","2,343.50","2,283.35","2,288.80","2,330.00","2,327.05","2,319.63","2,358.00","1,506.05",4620416,"10,717,678,247.75",157714,26.2528204,1,112.22,418.26,20.6
110,8-Sep-20,EQ,"2,335.95","2,390.45","2,327.05","2,327.05","2,343.95","2,348.20","2,365.85","2,390.45","1,506.05",7454161,"17,635,425,079.45",233593,26.49142599,1,112.22,418.26,20.6
111,9-Sep-20,EQ,"2,325.00","2,359.00","2,320.00","2,348.20","2,322.00","2,327.65","2,336.59","2,390.45","1,506.05",3866542,"9,034,529,930.40",114778,26.25958935,1,112.22,418.26,20.6
112,10-Sep-20,EQ,"2,335.00","2,348.50","2,324.30","2,327.65","2,329.10","2,331.15","2,334.85","2,390.45","1,506.05",2308813,"5,390,730,799.20",96578,26.29907491,1,112.22,418.26,20.6
113,11-Sep-20,EQ,"2,330.95","2,383.00","2,330.15","2,331.15","2,370.30","2,374.10","2,367.47","2,390.45","1,506.05",4145429,"9,814,176,117.65",161900,26.78361913,1,112.22,418.26,20.6
114,14-Sep-20,EQ,"2,384.10","2,505.75","2,381.85","2,374.10","2,485.00","2,491.40","2,447.42","2,505.75","1,506.05",7512284,"18,385,694,525.30",259748,28.10694946,1,112.22,418.26,20.6
115,15-Sep-20,EQ,"2,491.40","2,538.00","2,464.60","2,491.40","2,489.00","2,491.40","2,502.80","2,538.00","1,506.05",7318773,"18,317,394,072.10",229851,28.10694946,1,112.22,418.26,20.6
