SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPMP
100,25-Aug-20,EQ,"2,194.40","2,197.90","2,175.00","2,194.40","2,182.00","2,179.10","2,182.46","2,614.30","1,757.30",1774886,"3,873,617,334.00",69888,70,1,45.55,183.77,16.96
101,26-Aug-20,EQ,"2,182.10","2,186.00","2,160.00","2,179.10","2,185.00","2,182.80","2,174.21","2,614.30","1,757.30",2148246,"4,670,728,609.55",71305,70.11885641,1,45.55,183.77,16.96
102,27-Aug-20,EQ,"2,182.10","2,188.00","2,165.00","2,182.80","2,176.00","2,171.25","2,172.45","2,614.30","1,757.30",2172278,"4,719,164,441.00",76992,69.74783167,1,45.55,183.77,16.96
103,28-Aug-20,EQ,"2,179.00","2,182.40","2,145.00","2,171.25","2,148.00","2,151.95","2,162.74","2,614.30","1,757.30",1939848,"4,195,387,183.60",107096,69.12785095,1,45.55,183.77,16.96
104,31-Aug-20,EQ,"2,152.00","2,167.50","2,100.65","2,151.95","2,110.00","2,117.35","2,134.94","2,614.30","1,757.30",3534525,"7,546,000,906.30",165575,68.01638291,1,45.55,183.77,16.96
105,1-Sep-20,EQ,"2,149.95","2,174.90","2,111.75","2,117.35","2,170.00","2,161.65","2,140.56","2,614.30","1,757.30",1738013,"3,720,322,278.05",70039,69.43944748,1,45.55,183.77,16.96
106,2-Sep-20,EQ,"2,171.00","2,185.00","2,136.55","2,161.65","2,146.00","2,141.65","2,155.12","2,614.30","1,757.30",1667810,"3,594,325,392.30",84280,68.7969804,1,45.55,183.77,16.96
107,3-Sep-20,EQ,"2,153.00","2,154.45","2,128.05","2,141.65","2,143.05","2,139.15","2,139.42","2,614.30","1,757.30",1590711,"3,403,197,308.50",88296,68.71667202,1,45.55,183.77,16.96
108,4-Sep-20,EQ,"2,115.00","2,140.90","2,114.00","2,139.15","2,131.00","2,124.65","2,126.89","2,614.30","1,757.30",1590491,"3,382,804,549.70",71511,68.25088339,1,45.55,183.77,16.96
109,7-Sep-20,EQ,"2,126.00","2,174.00","2,103.75","2,124.65","2,165.05","2,162.60","2,154.75","2,614.30","1,757.30",2363028,"5,091,728,508.50",100531,69.46996466,1,45.55,183.77,16.96
110,8-Sep-20,EQ,"2,154.00","2,171.35","2,131.15","2,162.60","2,135.00","2,142.25","2,157.46","2,614.30","1,757.30",1804240,"3,892,571,739.95",94155,68.81625442,1,45.55,183.77,16.96
111,9-Sep-20,EQ,"2,122.00","2,144.20","2,110.00","2,142.25","2,131.50","2,132.25","2,131.93","2,614.30","1,757.30",2009945,"4,285,057,654.45",107561,68.49502088,1,45.55,183.77,16.96
112,10-Sep-20,EQ,"2,142.00","2,143.60","2,118.20","2,132.25","2,134.70","2,133.90","2,128.22","2,614.30","1,757.30",2137794,"4,549,690,396.90",72808,68.54802441,1,45.55,183.77,16.96
113,11-Sep-20,EQ,"2,125.00","2,169.00","2,124.50","2,133.90","2,159.00","2,159.25","2,152.90","2,614.30","1,757.30",1934716,"4,165,248,416.55",78410,69.36235143,1,45.55,183.77,16.96
114,14-Sep-20,EQ,"2,167.00","2,169.70","2,115.00","2,159.25","2,121.00","2,123.50","2,132.70","2,614.30","1,757.30",2096976,"4,472,216,500.45",122163,68.21394154,1,45.55,183.77,16.96
115,15-Sep-20,EQ,"2,136.90","2,137.00","2,109.00","2,123.50","2,125.00","2,124.45","2,124.52","2,614.30","1,757.30",1224059,"2,600,533,012.95",58186,68.24445872,1,45.55,183.77,16.96
116,16-Sep-20,EQ,"2,125.00","2,158.95","2,112.70","2,124.45","2,140.00","2,143.50","2,135.22","2,614.30","1,757.30",2087842,"4,457,996,240.35",109780,68.85640861,1,45.55,183.77,16.96
117,17-Sep-20,EQ,"2,135.00","2,145.05","2,122.25","2,143.50","2,128.00","2,128.20","2,130.18","2,614.30","1,757.30",1741644,"3,710,020,106.25",70467,68.3649213,1,45.55,183.77,16.96
118,18-Sep-20,EQ,"2,120.00","2,127.55","2,090.00","2,128.20","2,099.00","2,098.70","2,099.77","2,614.30","1,757.30",4475209,"9,396,931,818.70",209451,67.41728236,1,45.55,183.77,16.96
119,21-Sep-20,EQ,"2,098.70","2,099.00","2,022.10","2,098.70","2,035.00","2,037.80","2,049.98","2,614.30","1,757.30",3483981,"7,142,082,988.80",191664,65.46097013,1,45.55,183.77,16.96
120,22-Sep-20,EQ,"2,040.55","2,054.75","2,000.05","2,037.80","2,026.75","2,026.80","2,017.08","2,614.30","1,757.30",2345712,"4,731,483,007.70",148164,65.10761323,1,45.55,183.77,16.96
121,23-Sep-20,EQ,"2,035.00","2,060.00","2,025.85","2,026.80","2,052.50","2,052.55","2,045.14","2,614.30","1,757.30",2410305,"4,929,423,121.45",178103,65.93478959,1,45.55,183.77,16.96
122,24-Sep-20,EQ,"2,044.00","2,081.00","2,035.05","2,052.55","2,057.60","2,060.90","2,060.63","2,614.30","1,757.30",3798394,"7,827,096,922.10",150917,66.2030196,1,45.55,183.77,16.96
123,25-Sep-20,EQ,"2,082.00","2,111.00","2,070.85","2,060.90","2,072.00","2,079.05","2,092.81","2,614.30","1,757.30",2528928,"5,292,566,474.95",115091,66.78605846,1,45.55,183.77,16.96
124,28-Sep-20,EQ,"2,083.00","2,092.35","2,060.00","2,079.05","2,068.00","2,063.30","2,071.53","2,614.30","1,757.30",1524037,"3,157,084,684.95",92455,66.28011564,1,45.55,183.77,16.96
125,29-Sep-20,EQ,"2,065.00","2,069.25","2,024.75","2,063.30","2,032.00","2,033.20","2,047.82","2,614.30","1,757.30",2298854,"4,707,633,761.05",85799,65.3132027,1,45.55,183.77,16.96
126,30-Sep-20,EQ,"2,038.95","2,097.00","2,034.00","2,033.20","2,065.00","2,068.25","2,072.91","2,614.30","1,757.30",2417400,"5,011,052,209.55",96219,66.43912624,1,45.55,183.77,16.96
127,1-Oct-20,EQ,"2,090.00","2,108.90","2,070.00","2,068.25","2,094.00","2,095.00","2,092.00","2,614.30","1,757.30",2131593,"4,459,296,997.15",69043,67.29842596,1,45.55,183.77,16.96
128,5-Oct-20,EQ,"2,100.00","2,123.30","2,082.20","2,095.00","2,113.00","2,111.05","2,105.65","2,614.30","1,757.30",1646114,"3,466,148,109.80",83919,67.81400578,1,45.55,183.77,16.96
129,6-Oct-20,EQ,"2,119.00","2,140.00","2,108.05","2,111.05","2,125.00","2,115.90","2,123.56","2,614.30","1,757.30",1679500,"3,566,513,845.65",80302,67.96980405,1,45.55,183.77,16.96
130,7-Oct-20,EQ,"2,123.00","2,150.00","2,113.00","2,115.90","2,141.70","2,139.35","2,137.47","2,614.30","1,757.30",2428598,"5,191,058,257.25",102634,68.72309669,1,45.55,183.77,16.96
131,8-Oct-20,EQ,"2,147.00","2,165.00","2,146.25","2,139.35","2,160.10","2,160.80","2,157.25","2,614.30","1,757.30",1617382,"3,489,090,628.65",64436,69.41214263,1,45.55,183.77,16.96
