SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPM
126,30-Sep-20,EQ,"1,060.00","1,086.90","1,052.00","1,062.55","1,078.00","1,078.60","1,070.11","1,305.50",738.75,9407038,"10,066,598,890.80",226805,22.47083333,1,96.97,222.84,22.3
127,1-Oct-20,EQ,"1,090.10","1,110.00","1,090.10","1,078.60","1,108.00","1,106.95","1,099.60","1,305.50",738.75,10601566,"11,657,442,720.45",173095,23.06145833,1,96.97,222.84,22.3
128,5-Oct-20,EQ,"1,112.00","1,132.00","1,111.00","1,106.95","1,112.50","1,114.35","1,121.66","1,305.50",738.75,8470109,"9,500,543,768.35",160877,23.215625,1,96.97,222.84,22.3
129,6-Oct-20,EQ,"1,135.05","1,148.00","1,126.20","1,114.35","1,143.15","1,144.10","1,137.63","1,305.50",738.75,9685997,"11,019,111,125.30",214476,23.83541667,1,96.97,222.84,22.3
130,7-Oct-20,EQ,"1,144.90","1,164.85","1,137.60","1,144.10","1,160.50","1,162.25","1,154.88","1,305.50",738.75,10624527,"12,270,100,197.00",210164,24.21354167,1,96.97,222.84,22.3
131,8-Oct-20,EQ,"1,180.00","1,203.00","1,163.35","1,162.25","1,189.90","1,191.80","1,187.94","1,305.50",738.75,17530368,"20,825,050,397.45",242763,24.82916667,1,96.97,222.84,22.3
132,9-Oct-20,EQ,"1,201.00","1,237.00","1,191.65","1,191.80","1,235.20","1,233.55","1,218.62","1,305.50",738.75,22486215,"27,402,147,398.55",338324,25.69895833,1,96.97,222.84,22.3
133,12-Oct-20,EQ,"1,231.55","1,242.75","1,205.60","1,233.55","1,214.50","1,213.65","1,220.43","1,305.50",738.75,9610277,"11,728,711,136.65",192519,25.284375,1,96.97,222.84,22.3
134,13-Oct-20,EQ,"1,213.40","1,222.45","1,195.00","1,213.65","1,195.25","1,198.45","1,206.34","1,305.50",738.75,9177015,"11,070,573,513.50",183515,24.96770833,1,96.97,222.84,22.3
135,14-Oct-20,EQ,"1,195.55","1,214.30","1,175.50","1,198.45","1,213.50","1,211.50","1,190.04","1,305.50",738.75,11291473,"13,437,251,785.95",220645,25.23958333,1,96.97,222.84,22.3
136,15-Oct-20,EQ,"1,214.20","1,217.00","1,164.00","1,211.50","1,168.60","1,169.25","1,195.09","1,305.50",738.75,14123569,"16,878,959,918.70",238649,24.359375,1,96.97,222.84,22.3
137,16-Oct-20,EQ,"1,180.00","1,203.50","1,173.00","1,169.25","1,203.35","1,199.35","1,189.99","1,305.50",738.75,12911559,"15,364,649,993.60",232163,24.98645833,1,96.97,222.84,22.3
138,19-Oct-20,EQ,"1,235.00","1,235.00","1,192.60","1,199.35","1,203.00","1,203.55","1,206.93","1,305.50",738.75,21179884,"25,562,653,004.00",312856,25.07395833,1,96.97,222.84,22.3
